titulo,estilo,letra
Gyal You A Party Animal,dancehall,"[""It's CharlyGirlsMy girl come flip it like a FlipagramFlip it like a FlipagramMake yuh bumpa flip like a FlipagramFlip it like a FlipagramFlip it like a Flipagram (yuh, yuh deaf?)Gyal whine up pon mi body gyalWhine like it's a carnivalGyal me love the way how you whine for meGyal your whine is so emotionalSo whine up pon mi body gyalMe wan' you come whine your waistline for meBaby yuh bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalGyal you active, no you nuh lazyGyal you a party animalTo how you whine you drive me crazyGyal you a party animalYou whine so good, you just so goodGyal me love how you partyShe took one shot, two shot, three shot, fourAfter nine minutes she come back for moreShe take of her shoes dem pon di dancefloorAnd she start to bruk out, bruk out like a soreThen she approach me just like a cureMe know seh she like me, tonight me a scoreShe sexy, she beautiful and she pureGyal ah you me adore, soGyal whine up pon mi body gyalWhine just like ah carnivalGyal me love the way how you whine for meGyal your whine is so emotionalSo whine up pon mi body gyalMe wan' you come whine your waistline for me (whoa)Baby yuh bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalTo how you whine you drive me crazyGyal you a party animalGyal you active no you nuh lazyGyal you a party animalYou dance so good, you just so goodGyal me love how you partyGyal yuh ting up deh, up deh, up dehMe nuh know where yuh from but yuh ting up dehGyal if God send you fi meet me tonightMe ah follow you ah morning, go back up dehNo worry 'bout your friends they're with my friendsAfter di club a party pon mi endsSo gyal just flip it like a Flipagram, flip it like a FlipagramRight this momentWhine up pon mi body gyalWhine just like ah carnivalGyal me love the way how you whine for meGyal your whine is so emotionalSo whine up pon mi body gyalMe wan' you come whine your waistline for me (yuh deaf?)Baby yuh bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalGyal you active no you no lazyGyal you a party animalTo how you whine you drive me crazyGyal you a party animalYou just so good, you whine so goodGyal me love how youWhine up pon mi body gyalWhine just like, carnivalGyal me love the way how you whine for me'MotionalBody gyalMe wan' you come whine your waistline for me (whoa)Bubblin', yuh bubblin', yuh bubblin' babyGyal you a party animalGyal you a party animalGyal you a party animal""]"
The Winner Takes It All,disco,"[""I don't wanna talkAbout the things we've gone throughThough it's hurting meNow it's historyI've played all my cardsAnd that's what you've done tooNothing more to sayNo more ace to play"", ""The winner takes it allThe loser's standing smallBeside the victoryThat's her destiny"", ""I was in your armsThinking I belonged thereI figured it made senseBuilding me a fenceBuilding me a homeThinking I'd be strong thereBut I was a foolPlaying by the rules"", 'The gods may throw a diceTheir minds as cold as iceAnd someone way down hereLoses someone dear', ""The winner takes it all (takes it all)The loser has to fall (has to fall)It's simple and it's plain (yes, it's plain)Why should I complain? (Why complain?)"", 'But tell me, does she kissLike I used to kiss you?Does it feel the sameWhen she calls your name?Somewhere deep insideYou must know I miss youBut what can I say?Rules must be obeyed', 'The judges will decide (will decide)The likes of me abide (me abide)Spectators of the show (of the show)Always staying low (staying low)', 'The game is on again (on again)A lover or a friend (or a friend)A big thing or a small (big or small)The winner takes it all (takes it all)', ""I don't wanna talkIf it makes you feel sadAnd I understandYou've come to shake my handI apologizeIf it makes you feel badSeeing me so tenseNo self-confidenceBut you see"", 'The winner takes it allThe winner takes it all', ""So the winner takes it allAnd the loser has to fallThrow a dice, cold as iceWay down here, someone dearTakes it all, has to fallYes, it's plainWhy complain?""]"
Sou Musa do Verão (part. Luísa Sonza),eletronica,"['Asking All Nighte comb in the morning according to your voice asking for more fault what I want, my bemean I'm already missing the trick you have', ""while time to slowly, you kiss strongly is a dream, baby, iDon't Knowolho Don't Under the Skin of Your Body, I LOKE WITH YOUR GOSTOBABY, I WANNA COME "", '(Make Me, Ah-Ah-Ah) So go (make me, ah-ah-ah) I want more (makeMe, ah-ah-ah) What do you do me High (make me, ah-ah-ah) so go (make me, ah-ah-ah) I want more (make me, ah-ah-ah) whatYou doget me high ',' (ahn, ahn, ahn, ahn) hm ',' put my panties aside and it is good pissed off, kid, putobota my panties aside and is very pissed off, pitobota my panties andIt's good pissed off, pitch, putobota my panties and says to me ',' I'm summer muse, warmth in the heart.The hand ', ""While the time for slowly, you kiss strongly is a dream, baby, i don't knowolho under the skin of your body, I smear with your Gostoobaby, I Wanna Come"",' (make me, ah-Ah-ah) So go (make me, ah-ah-ah) I want more (make me, ah-ah-ah) what you do me High (make me, ah-ah-ah) so go (make me, ah-ah-ah) I want more (make me, ah-ah-ah) what you do me High ',' (ahn, ahn, ahn, ahn), 'put my panties aside and do pissed off, pitch, putobota my panties aside and is good pissed off, kid, putobota my panties and is good pissed, pitch, putobota my panties aside and says to me ',' my panties and is good pissed off, pissedputominha panties and says to me ',' (I'm summer muse) ']"
The Ghost Of You,emocore,"[""I never said I'd lie and wait foreverIf I died, we'd be together nowI can't always just forget herBut she could try"", 'At the end of the world or the last thing I seeYou are never coming home, never coming homeCould I? Should I?And all the things that you never ever told meAnd all the smiles that are ever, ever', ""Ever get the feeling that you're never all alone?And I remember nowAt the top of my lungs in my arms, she dies, she dies"", 'At the end of the world or the last thing I seeYou are never coming home, never coming homeCould I? Should I?And all the things that you never ever told meAnd all the smiles that are ever gonna haunt me', 'Never coming home, never coming homeCould I? Should I?And all the wounds that are ever gonna scar meFor all the ghosts that are never gonna catch me', 'If I fallIf I fall down', 'At the end of the world or the last thing I seeYou are never coming home, never coming homeNever coming home, never coming homeAnd all the things that you never ever told meAnd all the smiles that are ever going to haunt me', 'Never coming home, never coming homeCould I? Should I?And all the wounds that are ever gonna scar meFor all the ghosts that are never gonna']"
Pica Do 7,fado,"['In the morning early I jump do ninhoe I go to stop by waiting for 7 but not by viageme well that I did not want one one day I saw it pass my skeptical chest, through an electric dick it dreamed', 'with eachRepeque, which sounds from click that fretal mode, the skeptical chest touches the rebate the train derails the people Refilae I get a mere path in my concrete case already fate, 'nobody believes in the state where my heart is being 7I get me up I think the password jumps me from the career in the career of this life nothing gives me the cock that the seven cock gives me ',' what a sad factories and that itinerary so unhappy to my horer the horer the employee of a carrisse train IQUESTIONSE HAS FREE PASS PROF OF SOMEONE GO HAVE YOU KNOWLY I OBLITE YOUR BYCLE ALSO ',' NOBODY BELIEVE IN THE STATE WHERE MY HEART FULLY THE 7 IF THE PASSWORD I HAVE ME FROM THE CAREER OF THIS LIFE GIVES METhe cock that the seven cock gives me ']"
Remitente (Versión Benidorm Fest),flamenco-bulerias,"['Being my late, Arenasé went late, and now chain in a sigh, I saw your cavernay all about inside, even if it hurts',' I am a reflection, a siren the lifted arm of your grandmuedosdos of girls girls in the cartorationOf milk, portion of pain ',' Forgive this letter that gives you a yotro there you have a list before marchBlack veil in a women's corrillo with the toy with the right hand and that your father did not know that there was a lot of heart to take steps to the forehead and be ableLuckily, nobody will give you now you go and you let me alone ',' I gave you the voice and voice and voice and the voice that you steal you, my love you run out of reason that if you already turn off that voice voice drown',' Be my late, Arenasé went late, and now chain in a sigh, I saw your cavernay all in inside, even if it hurts us ',' I am a reflection, a siren of your lifted arm of your grandmuedosdos nodes girls in theMilk cartoration, Penaay ration ',' The despair between the thirteen rosas, the blue babiThe carnations of pins I say the sender called freedom, 'The voice and voice and the voice that steals you, my love you run out of reason that if you already turn off that voice to drowned ',' I was late, the Arenas left my late, and now chain in a sigh, I sawYour cavernay all for inside, even if it hurts ',' I am a reflection, a siren arm raised by your grandmuedos chicas in the cartoration of milk, portion ration of my meats ',' Let's see if you are so galloa to see if you are soGreat see if you are so Galloa to see if you are so big ']"
Dingo Bell,funk,"['It's the original DJ,' Dingo Bell, Dingo Bell, Dingo, Dingo Bellme I present, I'm Teteu, I'm your Dad Noelseu Gift It is Beijoca and she fell from the sky50% sugar, 50% honey ',' Dingo Bell,Dingo Bell, Dingo, Dingo Bellasted the night with me, saw that the Teteu is cruel50% sugar, 50% melseu present is kiss and she fell from the sky ',' Dingo Bell, Dingo Bell, Dingo, Dingo Bellme Present, I am Teteu, I amHer daddy Noelseu present is kiss and she fell from the sky50% sugar, 50% honey ',' Dingo Bell, Dingo Bell, Dingo, Dingo Bellasted the night with me, saw that the teteu is cruel50% sugar, 50% melseu gift is kissAnd she fell from the sky ',' is the original DJ, 'Dingo Bell, Dingo Bell, Dingo, Dingo Bellme I present, I'm Teteu, I am her daddy Noelseu Gift is Beijoca and she fell from the sky50% sugar, 50% honey',' Dingo Bell, Dingo Bell, Dingo, Dingo Bellasted the night with me, saw that the Teteu is cruel50% sugar, 50% melseu present is kiss and she fell from the sky ',' Dingo Bell, Dingo Bell, Dingo, Dingo BellmeI present, I'm teteu, I'm your dad noeelseu gift is kiss and she fell from the sky50% sugar, 50% honey, 'Dingo Bell, Dingo Bell, Dingo, Dingo Bellasou the night with me, saw that the teteu is cruel50% sugar,50% Melseu Gift is Beijoca and she fell from the sky ',' is the original DJ ’]"
Virtual Insanity,funk-internacional,"[""Oh, yeah, what we're living in(Let me tell ya)"", ""It's a wonder man can eat at allWhen things are big that should be smallWho can tell what magic spellsWe'll be doing for us"", ""And I'm giving all my love to this worldOnly to be toldI can't see, I can't breathe no more will we be"", ""And nothing's going to change the way we live'Cause we can always take but never giveAnd now that things are changing for the worse, See"", ""Whoa! Its a crazy world we're living inAnd I just can't see that half of usImmersed in sin is all we have to give these"", 'Futures made of virtual insanity nowAlways seem to be governed by this love we haveFor useless, twisting other new technologyOh, now there is no sound for we all live underground', ""And I'm thinking what a mess we're inHard to know where to beginIf I could slip the sickly tiesThat earthly man has made"", ""And now every motherCan choose the colour of her childThat's not nature's way"", ""Well that's what they said yesterdayThere's nothing left to do but prayI think it's time I find a new religion"", ""Waoh! It's so insaneTo synthesize another strainThere's something in these futuresThat we have to be told"", 'Futures made of virtual insanity nowAlways seem to be governed by this love we haveFor useless, twisting other new technologyOh, now there is no sound for we all live underground, Whoa!', ""Now there is no soundIf we all live undergroundAnd now it's virtual insanityForget your virtual realityOh, there's nothing so badAs a man-made manOh, yeah, I know yeah!"", 'Futures made of virtual insanity nowAlways seem to be governed by this love we haveFor useless, twisting other new technologyOh, now there is no sound for we all live underground', ""And this life that we live inIs all gone wrong, yeahGone out the window, you knowThere is nothing worse thanA manmade manYes, there's nothing worse thanA foolish man, hey"", ""Virtual insanity is what we're living inYeah!Well, It's alright now""]"
Bondade de Deus,gospelreligioso,"['I love you, God you have never failed every day I am in your hands',' since when I raise myself, I will lie down from the goodness of God ',' You are faithful at all times all time you are so, so good with all breath I haveI will sing from the goodness of God, 'Your sweet voice that guides me in the middle of the darkness to comfort me', 'I know you are my father is alive in the goodness of God,' you are faithful at all times all time you are so, soSo goodcom all breath that I have I will sing of the goodness of God, '(you are faithful, Jesus, you are faithful)', 'You are faithful at all times all time you are so, so good with every breath I have I will sing of the goodness of God',' (Your kindness, Lord) (will follow us every day of our lives) ',' Your goodness will follow me follow, gentleness, kindness will follow me, Lord ',' I surrender to you, give you my SERENTREGO.Everything the goodness goodness will follow me to follow, Lord ',' Your goodness will follow me will follow me, gentleness, you will follow me, you will follow, Lord ',' I surrender to you, I give you my SERENTREGO all the goodness will follow me will follow me, Lord ', Lord','(You are faithful, you are so good, my God)', 'You are faithful all the time you are so, so good with all breath that I have to sing of the goodness of God', '(so sing that he is faithful)',' You are faithful all the time you are so, so good with all the breath that I have I will sing of the goodness of God ',' You are faithful at all times you are so, so good with all breath I have, I will sing fromGod's kindness', '(then sing this with all your heart) (He is faithful)', 'You are faithful at all times all time you are so, so good with all breath that I have I will sing of the goodness of God']]]"
Come As You Are,grunge,"['Come as you are, as you wereAs I want you to beAs a friend, as a friendAs an old enemy', ""Take your time, hurry upChoice is yours, don't be lateTake a rest, as a friendAs an old memory, yeah"", 'Memory, yeahMemory, yeahMemory, yeah', 'Come doused in mud, soaked in bleachAs I want you to beAs a trend, as a friendAs an old memory, yeah', 'Memory, yeahMemory, yeahMemory, yeah', ""And I swear that I don't have a gunNo, I don't have a gunNo, I don't have a gun"", ""Memory, yeahMemory, yeahMemory, yeah(No, I don't have a gun)"", ""And I swear that I don't have a gunNo, I don't have a gunNo, I don't have a gunNo, I don't have a gunNo, I don't have a gun"", 'Memory, yeahMemory, yeah']"
Milagre da Flecha,guarania,"['It was tall madrugadaja tired of the journey was back to my home', 'when he appeared in the height leaning against the muroum thief to rob me', 'with the revolver in the neck explained to Moçotenho a son to raise', 'I am a family bullshit., Humilhames do not want to kill me ',' Ave Maria, Halleluiave Maria ',' but the man without piety a slave of evil went to mistreat me ',' to see if I was afraid of pulling my finger sent me ',' I had never hadI was just sin I was unimportantly for salvation, 'I raised my thinking and I discovered at this moment that it is to have religion', 'Ave Maria, Halleluiave Maria', 'A flash appears a few view of the bandit the bad guy fainted', 'and died, there was no jeitocom an arrowNo breasts know who shot ',' at this time we scream, cries and believe that the miracle happened ',' knee on the sidewalk I did with a tired voice that answered me? 'Warming up when I entered the Cathedral ',' Each saint I saw again thanked him to swear to be loyal ',' see the saint of passage did not touch me in this image, he warned the sexton ',' because no one explained a arrow that was lacking image of St. Sebastian ','Ave Maria, Aleluiave Maria']"
Going Under,gotico,"[""Now I will tell you what I've done for youFifty thousand tears I've criedScreaming, deceiving and bleeding for youAnd you still won't hear me (going under)"", ""Don't want your hand this time, I'll save myselfMaybe I'll wake up for once (wake up for once)Not tormented, daily defeated by youJust when I thought I'd reached the bottom"", ""I'm dying again"", ""I'm going under (going under)Drowning in you (drowning in you)I'm falling forever (falling forever)I've got to break throughI'm going under"", ""Blurring and stirring the truth and the lies (so I don't know what's real)So I don't know what's real and what's not (don't know what's real and what's not)Always confusing the thoughts in my head (ooh)So I can't trust myself anymore"", ""I'm dying again"", ""I'm going under (going under)Drowning in you (drowning in you)I'm falling forever (falling forever)I've got to break through, I'm"", ""So go on and scream, scream at meI'm so far away (so far away)I won't be broken again (again)I've got to breatheI can't keep going under"", ""I'm dying again"", ""I'm going under (going under)Drowning in you (drowning in you)I'm falling forever (falling forever)I've got to break throughI'm going under (going under)"", ""Going under (drowning in you)I'm going under""]"
More Than Words,hard-rock,"[""Saying: I love youIs not the words I want to hear from youIt's not that I want youNot to say, but if you only knewHow easy it would be to show me how you feel"", ""More than wordsIs all you have to do to make it realThen you wouldn't have to sayThat you love me'Cause I'd already know"", ""What would you do if my heart was torn in two?More than words to show you feelThat your love for me is realWhat would you say if I took those words away?Then you couldn't make things newJust by saying: I love you"", 'More than words', ""Now that I've tried to talk to you and make you understandAll you have to do is close your eyesAnd just reach out your hands and touch meHold me close, don't ever let me go"", ""More than wordsIs all I ever needed you to showThen you wouldn't have to sayThat you love me'Cause I'd already know"", ""What would you do if my heart was torn in two?More than words to show you feelThat your love for me is realWhat would you say if I took those words away?Then you couldn't make things newJust by saying: I love you""]"
So Far Away,hardcore,"['Never feared for anythingNever shamed, but never freeA life that healed the broken heart with all that it couldLived a life so endlesslySaw beyond what others seeI tried to heal your broken heart with all that I could', 'Will you stay?Will you stay away forever?', ""How do I live without the ones I love?Time still turns the pages of the book it's burnedPlace and time always on my mindI have so much to say, but you're so far away"", ""Plans of what our futures holdFoolish lies of growing oldIt seems we're so invincible, the truth is so coldA final song, a last requestA perfect chapter laid to restNow and then I try to find a place in my mind"", 'Where you can stayYou can stay awake forever', ""How do I live without the ones I love?Time still turns the pages of the book it's burnedPlace and time always on my mindI have so much to say, but you're so far away"", ""Sleep tight, I'm not afraidThe ones that we love are here with meLay away a place for me'Cause as soon as I'm done, I'll be on my wayTo live eternally"", ""How do I live without the ones I love?Time still turns the pages of the book it's burnedPlace and time always on my mindAnd the light you left remains, but it's so hard to stayWhen I have so much to say and you're so far away"", ""I love you, you were readyThe pain is strong and urges riseBut I'll see you when He lets meYour pain is gone, your hands untied"", 'So far away (so far away)And I need you to knowSo far away (so far away)And I need you to, need you to know']"
Toxicity,heavy-metal,"['Conversion, software version 7.0Looking at life through the eyes of a tire hubEating seeds as a pastime activityThe toxicity of our city, of our city', 'You, what do you own the world?How do you own disorder, disorder?Now, somewhere between the sacred silenceSacred silence and sleepSomewhereBetween the sacred silence and sleepDisorder, disorder, disorder', 'More wood for their fires, loud neighborsFlashlight reveries caught in the headlights of a truckEating seeds as a pastime activityThe toxicity of our city, of our city', 'You, what do you own the world?How do you own disorder, disorder?Now, somewhere between the sacred silenceSacred silence and sleepSomewhereBetween the sacred silence and sleepDisorder, disorder, disorder', 'You, what do you own the world?How do you own disorder?Now, somewhere between the sacred silenceSacred silence and sleepSomewhereBetween the sacred silence and sleepDisorder, disorder, disorder', ""When I became the SunI shone life into the man's heartsWhen I became the SunI shone life into the man's hearts""]"
Foto da Unha (part. Veigh),hip-hop-rap,"['(Smaller, chat straight memo) (then, you have to see the nail picture that the mine sent me here now, put) (a lot of bullet, forget) (it was like? Giving a talent in the hair) (already sent the photoFrom the cut she ordered), 'I like when she sends me a picture of the nail (aff) she likes when I send a picture of the cut (on the ruler) mocking and likes adventure (she is mocking) said my costume fuels withSupport ',' Louis Vuitton Bag (Speaks) Dioorela Chanelcasquinho Perfume wants to listen to me saying: I'm all your little Louboutinbota da Bottega (Bottega) Yves Saint Laurentcheiro I get silly ',' telling note, making you looking at me,I think I feel elsewhere (elsewhere) gossip site has my name in tudose we want, we buy, today no longer need to rent ',' she goes to the salon (goes to the salon) she comes back on the bullet (naBullet) My name in cord, proceeds from her posture, I get borderless the card that denies no vision of vision is life expensive, talk ',' I like when she sends me a picture of the nail (aff) she likes when I send a picture of the cut (in the ruler) mocking and likes adventure (she is mocking) said that my costume suits the support (Veigh, Baby, Uh) ',' Louis Vuitton (Speech), Versace or Christian Dior (Dior, Dior)You will take without seeing the value (without seeing the value) has done the nail, wants me to choose the color (ahn) pink, brunette, come here, that today will have ',' was just what I missed this cat withMarra making a picture in the mirror (ahn) with the decorated nail I know if it's a dancer, almond or stiletto (ahn) o, that brunette playee said it wasn't going to the ball, she was right (uh, uh, yeah) short dress, Bracelet on the arm and gave a talented hair (MUÁ) ',' If it is not at the ball, it is in samba (samba) I ask her to scratch me (there, black) confuse the tambourine when she swings in the rhythm of this dance(scale) Money from sucker is leisure for malandomprais a whiskey and already think that banking this, in the end it is with us that she comes home ',' I like when she sends me a picture of the nail (aff) she likes when I send photo ofCut (ruler) mocking and likes adventure (she's mocking) said my costume suits the support (hum), 'I like when she sends me a picture of the nail (speaks) (aff) she likes when I send photo ofCut (on the ruler) mocking and likes adventure (she is mocking) said my costume suits the support (hum) ',' (nagalli, he seem me the magic) ']"
